,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Connecticut
6,Delaware
7,Georgia
8,Hawaii
9,Idaho
10,Indiana
11,Iowa
12,Kansas
13,Kentucky
14,Louisiana
15,Maine
16,Maryland
17,Massachusetts
18,Michigan
19,Minnesota
20,Mississippi
21,Missouri
22,Montana
23,Nevada
24,New Hampshire
25,New Jersey
26,North Carolina
27,North Dakota
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Utah
34,Vermont
35,Virginia
36,Washington
37,West Virginia
38,Wisconsin
39,Wyoming
